global_index,topic,aspect_sentiment,n_sentences
64,0,0.0,1
64,1,0.0,1
64,2,0.0,3
64,3,0.0,2
64,4,0.0,2
64,5,0.0,3
64,6,0.0,1
64,7,0.0,2
70,0,0.0,2
70,1,0.0,3
70,2,0.0,1
70,3,0.0,3
70,4,0.0,4
70,5,0.0,1
70,6,0.0,3
70,7,0.0,3
75,7,0.0,1
78,0,0.0,2
81,3,0.0,1
82,2,0.0,2
82,3,0.0,2
91,0,0.0,2
91,1,0.0,2
91,2,0.0,1
91,3,0.0,3
91,4,0.0,2
91,7,0.0,2
117,0,0.0,3
117,1,0.0,3
117,2,0.0,1
117,3,0.0,1
117,4,0.0,3
117,7,0.0,3
120,0,0.0,1
120,1,0.0,3
120,2,0.0,3
120,3,0.0,1
120,4,0.0,1
120,5,0.0,1
120,6,0.0,3
120,7,0.0,2
121,0,0.0,4
121,2,0.0,1
121,3,0.0,1
121,7,0.0,2
123,1,0.0,2
123,2,0.0,2
123,3,0.0,7
123,5,0.0,6
143,0,0.0,2
143,1,0.0,3
143,2,0.0,3
143,3,0.0,2
143,6,0.0,3
143,7,0.0,3
151,0,0.0,3
151,1,0.0,3
151,2,0.0,3
151,3,0.0,4
151,4,0.0,1
151,5,0.0,4
151,6,0.0,3
151,7,0.0,1
177,2,0.0,35
195,0,0.0,4
195,2,0.0,26
195,3,0.0,17
195,6,0.0,4
195,7,0.0,16
207,2,0.0,4
