global_index,entity,label
59,Bertin Nahum,PER
59,Quantum Surgical,MISC
59,Epione,ORG
59,Epione,PER
59,prix Galien USA,MISC
59,Nobel de la recherche biopharmaceutique,MISC
59,Bénin,LOC
59,Forbes,ORG
59,Afrique,LOC
59,Propos Recueillis,PER
59,Emre Sari,PER
59,Afrique,LOC
59,Ce Qui Fait la Valeur d'Un Robot Comme Epione,MISC
59,Bertin NAHUM,PER
59,Paris,LOC
59,Uber,PER
60,Destination Business,ORG
60,Gabon Dossiers :,MISC
60,Gros,PER
60,Une de cette édition,MISC
60,Gabon,LOC
60,Afrique subsaharienne,LOC
60,Afrique centrale,LOC
60,Ressources naturelles,ORG
60,– Tourisme,MISC
61,Paris-Charles de Gaulle,LOC
61,CDG,ORG
61,Airbus A330-900neo d',LOC
61,Côte d'Ivoire,LOC
61,Paris,LOC
62,Internet,MISC
62,Starlink,LOC
62,Afrique,LOC
62,SpaceX,ORG
62,Elon Musk,PER
62,Starlink,PER
62,Quels,LOC
62,Elon Musk,PER
63,Wood & Timber Products Market,MISC
63,Décryptage,MISC
64,Organisation mondiale de la santé,ORG
64,OMS,ORG
64,Afrique,LOC
64,Marie-France Réveillard,PER
64,Organisation mondiale de la santé,ORG
64,OMS,ORG
64,Afrique subsaharienne,LOC
64,L'Afrique,LOC
64,France,LOC
64,L'Afrique,LOC
65,l'Afrique,LOC
66,Touche,LOC
66,Kehinde Wiley,PER
66,gotha,MISC
66,Elton John,PER
66,Alicia Keys,PER
66,Darren Star,MISC
66,Neil Patrick Harris,PER
66,Ice-T,PER
66,King of Pop,ORG
66,Michael Jackson,PER
66,Empire,MISC
66,Fox,ORG
66,Amérique,LOC
66,Wiley,PER
66,National Portrait Gallery de Washington,MISC
66,Barack Obama,PER
66,Maison-Blanche,LOC
66,États-Unis,LOC
66,France,LOC
66,Daniel Templon,PER
66,Andy Warhol,PER
66,The Virgin Martyr St Cecilia,MISC
66,Sotheby',ORG
66,Christian Martyr Tarcisius,PER
66,Kehinde Wiley,PER
66,Top 5,MISC
66,Artprice.com,ORG
66,Kehinde Wiley,PER
66,Top 5,MISC
66,Puma,LOC
66,Givenchy,LOC
66,American Express,ORG
66,MTV,MISC
66,Grey Goose,PER
66,Dr Dre,MISC
66,Barthelemy Toguo,PER
66,Amine Bendriouich,PER
66,Metropolitan Museum of Art,LOC
66,Los Angeles County Museum of Art,LOC
66,Jay-Z,LOC
66,Notorious B.I.G.,PER
66,Grandmaster Flash,PER
66,Spike Lee,PER
66,Samuel Eto'o,PER
66,American Dream,ORG
66,Wiley,PER
66,National Portrait Gallery de Washington,MISC
66,Barack Obama,PER
66,Maison-Blanche,LOC
66,Afro-Américain,LOC
66,Studio Museum,LOC
66,Harlem,LOC
66,Kehinde,PER
66,Blancs,PER
66,–,MISC
66,Wiley,PER
66,Rubens,LOC
66,Gainsborough,LOC
66,David,LOC
66,Titien,PER
66,Ingres,PER
66,Raphaël,PER
66,Velázquez,PER
66,Brooklyn,LOC
66,Harlem,LOC
66,Wiley,PER
66,DJs,MISC
66,Wiley,PER
66,Wiley,LOC
66,Kehinde,PER
66,Black Lives Matter,MISC
66,Wiley,PER
66,États-Unis,LOC
66,Kehinde Wiley,PER
66,Anna Djigo-Koffi,PER
66,Napoléon,PER
66,Alpes,LOC
66,Jacques-Louis David,PER
66,Timberland,LOC
66,Marengo,PER
66,Napoléon,PER
66,Ship of Fools,MISC
66,Jérôme Bosch,PER
66,Wiley,PER
66,The World,MISC
66,Tahiti,LOC
66,galerie Templon,LOC
66,–,MISC
66,Paul Gauguin,PER
66,Kehinde Wiley,PER
66,Alix Panizzoli,PER
66,regalia royaux,PER
66,Afro-Américain,LOC
66,Église,MISC
66,État,LOC
66,Andy Warhol,PER
66,Suis Peint Donc Je Suis,ORG
66,Wiley,PER
66,majestueux,LOC
66,saturé,LOC
66,Alix Panizzoli,PER
66,Holland Cotter,PER
66,Culture,ORG
66,New York,ORG
66,Wiley,PER
66,Pékin,LOC
66,Wiley,PER
66,Quattrocento,LOC
66,Marcel Duchamp,PER
66,Andy Warhol,PER
66,Ben Davis,PER
66,Davis,PER
66,Wiley,PER
66,Kehinde Wiley,PER
66,Guillaume Studer,PER
66,Chambre européenne des experts-conseils,ORG
66,Kehinde Wiley,PER
66,Andy Warhol,PER
66,Pape,PER
66,Wiley,LOC
66,Kehinde Wiley,PER
66,Guillaume Studer,PER
66,Chambre européenne des experts-conseils,ORG
66,Andy Warhol,PER
66,Pape,PER
67,Fonctionnel Fonctionnel Toujours,PER
67,Statistiques Statistiques,PER
67,Marketing Marketing,PER
67,Gérer,PER
67,Gérer,PER
67,Accepter Refuser,MISC
67,Enregistrer,PER
67,Mentions,MISC
67,La Vie Forbes,MISC
67,Sport Business,ORG
67,Immobilier Boutique,ORG
67,Entretien Ogiame,PER
67,Atuwatse III,PER
67,Souverain du Royaume de Warri,PER
67,Nos Institutions Traditionnelles Doivent Continuer,MISC
67,Exister,LOC
67,Adapter,ORG
67,Nigéria,LOC
67,Warri,PER
67,delta du Niger,LOC
67,Lire,MISC
67,Festival des Masques de Porto-Novo,MISC
67,Levier de Croissance Pour la Capitale Béninoise,LOC
67,Porto-Novo,LOC
67,Bénin,LOC
67,Festival des Masques,MISC
67,Lire,MISC
67,Culture,MISC
67,La Vie Forbes Portraits & Interviews Adama Paris :,MISC
67,Couture,LOC
67,Culture,MISC
67,Conquête Figure,MISC
67,Adama Paris,PER
67,Lire,MISC
67,Culture,MISC
67,La Vie Forbes Kehinde Wiley,MISC
67,Coups de Pinceaux En Coups d'Éclat,PER
67,Kehinde Wiley,PER
67,Lire,MISC
67,Culture,MISC
67,La Vie Forbes Portraits & Interviews Sous le Fer,MISC
67,Velours,ORG
67,Ousmane Mbaye,PER
67,Designer de la,PER
67,Matière Apprivoisée,LOC
67,Biennale,LOC
67,Dakar,LOC
67,Lire,MISC
67,Actu Culture,PER
67,La Vie Forbes Galerie,MISC
67,Stéphane Konan,PER
67,Première Galerie d'Art,MISC
67,Moscou,LOC
67,Ouvert,LOC
67,Célébrer la,MISC
67,Culture Africaine,PER
67,La Galerie Stéphane Konan,MISC
68,La Vie Forbes,MISC
68,Fonctionnel Fonctionnel Toujours,PER
68,Statistiques Statistiques,PER
68,Marketing Marketing,PER
68,Gérer,PER
68,Gérer,PER
68,Accepter Refuser,MISC
68,Enregistrer,PER
68,Mentions,MISC
68,La Vie Forbes,MISC
68,Sport Business,ORG
68,Immobilier Boutique,ORG
68,Forbes,ORG
68,La Vie Forbes,MISC
68,Romuald Bellegarde-Smeralda,PER
68,Directeur de Rolling,PER
68,Stone Africa,MISC
68,Rolling,ORG
68,Vocation,MISC
68,Devenir,LOC
68,Premier Média,PER
68,Référence Lifestyle,PER
68,Pour Toute la,MISC
68,Culture Afro,LOC
68,Référence mondiale,ORG
68,Rolling Stone,ORG
68,Rolling,ORG
68,Évasion Tourisme Travel Guide Gabon,ORG
68,La Nature,MISC
68,Majesté Saviez,PER
68,Gabon,LOC
68,Afrique,LOC
68,Culture,MISC
68,Entretien Ogiame,PER
68,Atuwatse III,PER
68,Souverain du Royaume de Warri,PER
68,Nos Institutions Traditionnelles Doivent Continuer,MISC
68,Exister,LOC
68,Adapter,ORG
68,Nigéria,LOC
68,Warri,PER
68,delta du Niger,LOC
68,Lire,MISC
68,"Les Promesses Du ""Dernier Eden",MISC
68,Afrique,LOC
68,Gabon,LOC
68,Lire,MISC
68,Nouveau Levier De Croissance Lancé,ORG
68,Bénin,LOC
68,Lire,MISC
68,La Vie Forbes Luxe,MISC
68,Fondateur de la,MISC
68,Paris,LOC
68,Cotonou,LOC
68,Dakar,LOC
68,Goya,LOC
69,Kehinde Wiley,PER
70,L'Afrique,LOC
70,Camerounaise,LOC
70,Elsa Zekeng,PER
70,SökerData,MISC
70,Pokou Ablé,PER
70,Elsa Zekeng,PER
70,Dr Léo Zekeng,MISC
70,Afrique,LOC
70,UNICEF,ORG
70,Organisation internationale pour les migrations,ORG
70,OIM,MISC
70,Communauté internationale des femmes,ORG
70,ICW,MISC
70,Organisation mondiale de la santé,ORG
70,OMS,ORG
70,Ébola,LOC
70,Guinée-Conakry,LOC
70,Hyperactive,MISC
71,Forbes,ORG
71,Africaines,LOC
71,COORDONNÉ,MISC
71,MARIE-FRANCE RÉVEILLARD,ORG
71,Top,MISC
71,Afrique,LOC
71,Forbes,ORG
71,Afrique,LOC
71,Afrique francophone,LOC
71,l'Afrique,LOC
72,Crédit Agricole,ORG
72,Ghislain Mboumba,PER
72,Banque internationale pour le commerce et l'industrie du Gabon,ORG
72,BICIG,ORG
72,AFG Holding,ORG
72,AFG,ORG
72,Gabon,LOC
72,Forbes,ORG
72,Afrique,LOC
72,Libreville,LOC
73,Forbes Afrique,LOC
74,Africa Day,ORG
74,French-African Foundation,MISC
77,Maurice,PER
78,Groupe Filatex,ORG
80,Casablanca,LOC
81,Communauté économique et monétaire de l'Afrique centrale,ORG
82,Africains,LOC
82,École nationale de la France d'outre-mer,ORG
82,Institut des sciences sociales du travail de Paris,ORG
86,Forbes Global,MISC
86,Afrique,LOC
87,Afrique du Nord,LOC
87,l'Afrique,LOC
87,Forbes Afrique,ORG
87,Cap,LOC
87,Afrique du Sud,LOC
87,Harley McKenson-Kenguéléwa,PER
87,Le Cap,LOC
87,La Quête d',MISC
87,Silicon Valley,ORG
87,Silicon Cape,LOC
87,Silicon Valley,LOC
87,l'Afrique du Sud,LOC
87,Statista,LOC
87,Afrique du Sud,LOC
87,l'Afrique,LOC
