global_index,topic,framing
64,0,neutral
64,1,neutral
64,2,neutral
64,3,neutral
64,4,neutral
64,5,neutral
64,6,neutral
64,7,neutral
70,0,neutral
70,1,neutral
70,2,neutral
70,3,neutral
70,4,neutral
70,5,neutral
70,6,neutral
70,7,neutral
75,7,neutral
78,0,neutral
81,3,economic
82,2,neutral
82,3,neutral
91,0,health
91,1,health
91,2,health
91,3,health
91,4,health
91,7,health
117,0,health
117,1,health
117,2,health
117,3,health
117,4,health
117,7,health
120,0,neutral
120,1,neutral
120,2,neutral
120,3,neutral
120,4,neutral
120,5,neutral
120,6,neutral
120,7,neutral
121,0,economic
121,2,economic
121,3,economic
121,7,economic
123,1,economic
123,2,economic
123,3,economic
123,5,economic
143,0,neutral
143,1,neutral
143,2,neutral
143,3,neutral
143,6,neutral
143,7,neutral
151,0,economic
151,1,economic
151,2,economic
151,3,economic
151,4,economic
151,5,economic
151,6,economic
151,7,economic
177,2,neutral
195,0,economic
195,2,economic
195,3,economic
195,6,economic
195,7,economic
207,2,economic
