oms_index,forbes_index,rank,similarity
0,70,1,0.6914639472961426
0,64,2,0.6799490451812744
0,91,3,0.5583859086036682
0,151,4,0.5497573614120483
0,143,5,0.48979106545448303
1,123,1,0.5390540957450867
1,64,2,0.43911096453666687
1,120,3,0.3977115750312805
1,82,4,0.3917173147201538
1,117,5,0.37132197618484497
2,64,1,0.7479947805404663
2,151,2,0.6760197877883911
2,120,3,0.5811316967010498
2,91,4,0.577878475189209
2,195,5,0.5695024728775024
3,64,1,0.6420605182647705
3,70,2,0.5598369836807251
3,151,3,0.5146023035049438
3,91,4,0.5016326308250427
3,120,5,0.46222391724586487
4,70,1,0.7171299457550049
4,64,2,0.7023136019706726
4,91,3,0.5896497368812561
4,151,4,0.564429759979248
4,143,5,0.5397188663482666
5,64,1,0.6716610193252563
5,70,2,0.6142213344573975
5,151,3,0.49570363759994507
5,120,4,0.49447786808013916
5,143,5,0.47510623931884766
6,70,1,0.7322510480880737
6,64,2,0.7164762616157532
6,91,3,0.6351853013038635
6,151,4,0.6311159133911133
6,120,5,0.5728199481964111
7,64,1,0.6691669225692749
7,70,2,0.6495294570922852
7,91,3,0.6032437086105347
7,120,4,0.5549365878105164
7,151,5,0.5420465469360352
8,70,1,0.7176571488380432
8,64,2,0.6271963119506836
8,91,3,0.5321828722953796
8,151,4,0.49902522563934326
8,143,5,0.4675832986831665
9,64,1,0.5268276333808899
9,152,2,0.5112292766571045
9,151,3,0.4892292618751526
9,70,4,0.4535568952560425
9,83,5,0.45119398832321167
10,70,1,0.6426634192466736
10,64,2,0.6298622488975525
10,91,3,0.5712332725524902
10,120,4,0.5426375269889832
10,117,5,0.5166381001472473
11,64,1,0.634244441986084
11,91,2,0.6144837737083435
11,70,3,0.6120532751083374
11,151,4,0.5178803205490112
11,120,5,0.5059928894042969
12,70,1,0.7052298784255981
12,64,2,0.6177070736885071
12,91,3,0.5202193856239319
12,143,4,0.461988627910614
12,151,5,0.45499536395072937
13,70,1,0.6966816186904907
13,64,2,0.6320517659187317
13,91,3,0.5856764316558838
13,123,4,0.492635577917099
13,92,5,0.49118226766586304
14,64,1,0.6040870547294617
14,120,2,0.5548354387283325
14,70,3,0.5217113494873047
