source,titre,date,lien,texte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forbes Afrique,Le média de ceux qui construisent l'Afrique d'aujourd'hui et de demain,Sep.2025,https://forbesafrique.com/bertin-nahum-inventeur-de-robots-chirurgicaux/,"Bertin Nahum et ses équipes de Quantum Surgical ont créé Epione, un robot capable de guider les praticiens dans les opérations très sensibles de tumeurs cancéreuses abdominales et pulmonaires. Epione a déjà opéré près de 1 000 patients dans des centres de renommée mondiale et gagné le prestigieux prix Galien USA en 2022, parfois considéré comme le Nobel de la recherche biopharmaceutique. Originaire du Bénin, Bertin Nahum détaille pour Forbes Afrique les dernières avancées de sa société. Celle-c i n’admet, pour l’heure, aucun concurrent. Propos Recueillis Par Emre Sari

Forbes Afrique : Qu’est-Ce Qui Fait la Valeur d’Un Robot Comme Epione ? Bertin NAHUM : Il faut d’abord se demander : des robots, oui, mais pour quoi faire ? Pour réaliser des opérations moins chères ? On n’a jamais vraiment démontré que l’acte était meilleur marché avec un robot. Aujourd’hui, le seul bénéfice prouvé, c’est que les robots permettent de démocratiser des soins. Pour faire un parallèle, les taxis, pour obtenir leur licence, devaient passer un examen, connaître les rues de Paris par cœur. Avec Uber, on a ouvert le métier et le marché, car de nouvelles populations se sont mises à prendre le taxi. En robot...

Si vous êtes déjà abonné.e, merci de vous connecter, ci-dessous.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forbes Afrique,Le média de ceux qui construisent l'Afrique d'aujourd'hui et de demain,,https://forbesafrique.com/author/la-redaction/,"Destination Business : Gabon Dossiers : Mobilité & Dynasties d’Affaires I Acteur – Starlink, la guerre des étoiles a commencé. Le géant américain va-t-il faire disparaître les déserts numériques sur le continent ? Gros plan sur un acteur qui affole l’écosystème tech africain. À la Une de cette édition, notre dossier consacré au Gabon. Ce pays, qui possède d’abondantes ressources naturelles et l’un des PIB par habitant les plus élevés d’Afrique subsaharienne, ambitionne de se positionner comme un modèle de résilience et de durabilité en Afrique centrale, en conjuguant réussite économique, justice sociale et fierté nationale. Au sommaire : analyses sectorielles (Ressources naturelles – Éducation – Tech – Transport – Énergies – Economie maritime – Industrie bancaire – Grande distribution – Tourisme), grands entretiens…",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forbes Afrique,Le média de ceux qui construisent l'Afrique d'aujourd'hui et de demain,,https://forbesafrique.com/portrait-et-interview/,"Le 15 octobre, en atterrissant à Paris-Charles de Gaulle (CDG), l’Airbus A330-900neo d’Air Côte d’Ivoire permettait à la compagnie ivoirienne de franchir une étape stratégique de son développement. Après Paris, de nouvelles destinations extra-africaines sont à l’ordre du jour…",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forbes Afrique,Le média de ceux qui construisent l'Afrique d'aujourd'hui et de demain,,https://forbesafrique.com/technologie/,"Le fournisseur d’accès à Internet par satellite américain Starlink poursuit son expansion en Afrique, avec une présence dans 22 pays. La filiale de la société SpaceX du milliardaire Elon Musk se déploie sur le continent depuis 2023. À ce jour, Starlink est disponible dans plus d’une vingtaine de pays africains. Le géant américain va-t-il faire disparaître les déserts numériques sur le continent ? Quels sont les enjeux de souveraineté numérique liés à cette innovation de rupture ? Comment réagissent les opérateurs traditionnels et les autorités publiques ? Elon Musk affole l’écosystème tech africain…",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forbes Afrique,Le média de ceux qui construisent l'Afrique d'aujourd'hui et de demain,,https://forbesafrique.com/tag/article-abonne/,"Après une décélération en 2023, la taille du marché mondial du bois est remontée à 992,43 milliards de dollars en 2024. Malgré de profondes transformations de la demande, il devrait encore s’accroître selon Wood & Timber Products Market, sous le poids d’une urbanisation rapide. Qu’en est-il du marché africain ? Quelles sont les grandes tendances ? Décryptage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forbes Afrique,Le média de ceux qui construisent l'Afrique d'aujourd'hui et de demain,Août.2025,https://forbesafrique.com/healthtech-quels-enjeux-pour-lafrique/,"Chaque année, ce sont plus de 100 épisodes graves de santé publique qui sont relevés par l’Organisation mondiale de la santé (OMS) en Afrique. Entre le manque de personnels qualifiés et d’infrastructures dédiées, le continent cherche des solutions à ses défis sanitaires. Désormais, l’e-santé est en mesure d’y répondre en partie…Analyse Par Marie-France Réveillard

Sur le continent africain, les problèmes sanitaires sont nombreux. Le taux de mortalité infantile est l’un des plus élevés au monde. Selon un rapport de décembre 2022 de l’Organisation mondiale de la santé (OMS), « près de 99 % des décès maternels surviennent dans les pays en développement, dont plus de la moitié en Afrique subsaharienne, où le taux est de 525 décès pour 100 000 naissances vivantes ; et où le taux de mortalité néonatale1 est de 27 décès pour 1 000 naissances vivantes ». L’Afrique, qui compte environ 18 % de la population mondiale, enregistre 50 % des décès dus à des maladies transmissibles et ne dispose que de 20 médecins pour 10 000 habitants, contre 320 en France, tandis que la couverture maladie universelle tarde à se mettre en place. « L’Afrique […] ne disp...

Si vous êtes déjà abonné.e, merci de vous connecter, ci-dessous.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forbes Afrique,Le média de ceux qui construisent l'Afrique d'aujourd'hui et de demain,,https://forbesafrique.com/analyse/,"Réduire la congestion urbaine, améliorer l’accessibilité, promouvoir le transport écologique…À l’heure où de nombreuses métropoles engagent de lourds investissements pour améliorer la mobilité urbaine sur leurs territoires, deux urbanistes spécialistes de l’Afrique nous livrent leur analyse sur les défis particuliers auxquels sont confrontés ces acteurs. Si, d’un pays à l’autre, les cultures et les législations varient, de grandes tendances se dégagent, qui redessinent un secteur en pleine mutation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forbes Afrique,Le média de ceux qui construisent l'Afrique d'aujourd'hui et de demain,,https://forbesafrique.com/analyse/passage-en-revue/focus-passage-en-revue/,"Réduire la congestion urbaine, améliorer l’accessibilité, promouvoir le transport écologique…À l’heure où de nombreuses métropoles engagent de lourds investissements pour améliorer la mobilité urbaine sur leurs territoires, deux urbanistes spécialistes de l’Afrique nous livrent leur analyse sur les défis particuliers auxquels sont confrontés ces acteurs. Si, d’un pays à l’autre, les cultures et les législations varient, de grandes tendances se dégagent, qui redessinent un secteur en pleine mutation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forbes Afrique,Le média de ceux qui construisent l'Afrique d'aujourd'hui et de demain,Juil.2025,https://forbesafrique.com/kehinde-wiley-de-coups-de-pinceaux-en-coups-declat/,"Touche à tout prolifique et homme d’affaires averti, Kehinde Wiley est l’un des artistes les plus en vue de sa génération. Prisées de tout le gotha, ses œuvres (qui figurent depuis près de 20 ans dans la liste des « must have » de collectionneurs comme les chanteurs Elton John et Alicia Keys, le producteur Darren Star, l’acteur Neil Patrick Harris, le rappeur Ice-T ou feu le « King of Pop » Michael Jackson) ont acquis une notoriété internationale en 2015 en apparaissant dans la série Empire , soap opera hip-hop qui a conquis la Fox et l’Amérique et généré des audiences faramineuses.

En 2018, Wiley devient le premier artiste afro-américain à intégrer la National Portrait Gallery de Washington pour son portrait de Barack Obama, commandé en 2016 par le locataire de la Maison-Blanche . Si le plasticien était déjà connu aux États-Unis et en France (où il est représenté par le galeriste et marchand d’art Daniel Templon , réputé pour avoir fait découvrir au public français quelques-uns des plus grands noms de l’art contemporain américain, dont Andy Warhol), cette commande impacte considérablement sa cote, qui double quasiment avant d’exploser en 2021 pour atteindre la somme de 649 200 euros – prix du tableau The Virgin Martyr St Cecilia , adjugé lors d’une vente aux enchères chez Sotheby’s ; un record qui sera battu le 7 mars 2024 par la toile Christian Martyr Tarcisius , vendue près de 800 000 euros, soit le triple de son estimation. Avec un chiffre d’affaires de 1,2 million d’euros pour l’année 2024, Kehinde Wiley est aujourd’hui classé 693 e dans le Top 5 000 au palmarès mondial des artistes les mieux vendus aux enchères (Artprice.com), signe d’une forte demande, de prix bien ajustés et d’une gestion maîtrisée de sa production.

Avec un chiffre d’affaires de 1,2 million d’euros pour l’année 2024, Kehinde Wiley est aujourd’hui classé 693 e dans le Top 5 000 au palmarès mondial des artistes les mieux vendus aux enchères…

Personnalité incontournable de la scène arty, la coqueluche du « hip-pop art » multiplie judicieusement partenariats et collaborations (Puma, Givenchy, American Express, MTV, Grey Goose ; Dr Dre, Barthelemy Toguo, Amine Bendriouich…), et ses toiles ont intégré les collections permanentes d’une cinquantaine d’institutions, dont le Metropolitan Museum of Art et le Los Angeles County Museum of Art . À son « tableau de chasse » majoritairement composé d’anonymes, il peut aussi s’enorgueillir d’avoir épinglé une belle brochette de célébrités (Jay-Z, Notorious B.I.G., Grandmaster Flash, Spike Lee, Samuel Eto’o…), dont plusieurs comptent parmi ses amis.

Une réussite qui a emprunté les voies de l’ American Dream , échappant, par la grâce de l’art – et un sens des affaires indéniable – aux destins peu enviables des minorités stigmatisées auxquelles l’artiste se fait fort de rendre leur dignité à travers ses toiles monumentales et chatoyantes.

En 2018, Wiley devient le premier artiste afro-américain à intégrer la National Portrait Gallery de Washington pour son portrait de Barack Obama, commandé en 2016 par le locataire de la Maison-Blanche.

C’est la photographie d’identité judiciaire piétinée d’un jeune Afro-Américain, trouvée au hasard des rues à l’époque où il est en résidence artistique au Studio Museum de Harlem, qui déterminera la raison d’être de son œuvre : revaloriser les populations marginalisées.

Kehinde part du constat suivant : l’histoire de l’art, écrite par les Blancs, ayant indéfiniment relégué les personnes de couleur à l’arrière-plan (esclaves, pages, servantes, valets de pied, combattants tombés sur le champ de bataille…), la peau noire – dont il rend les nuances et la texture avec un réalisme saisissant – est la grande oubliée des classiques muséaux. Wiley s’attellera donc à corriger les angles morts de l’histoire en détournant la rhétorique visuelle de la peinture aristocratique des XVIII e et XIX e siècles pour mettre sa puissance d’évocation au service de ceux que précisément elle a si souvent ignorés. « Je voulais pouvoir les traiter avec la même main aimante, la même attention aux détails que ceux accordés à certains des personnages les plus puissants de l’histoire de l’Europe » , explique-t-il.

Copiste méticuleux et virtuose, il instaure pour ce faire un dialogue avec quelques-uns des plus grands maîtres du passé (Rubens, Gainsborough, David, Titien, Ingres, Raphaël, Velázquez…) et la culture urbaine de Brooklyn et Harlem, proposant une contre-histoire visuelle du portrait de cour qui renvoie dos à dos les nobliaux d’hier et la jeunesse afro-américaine d’aujourd’hui incarnée par ses « boys ». De jeunes hommes âgés de 18 à 35 ans qu’il aborde directement dans la rue lors de castings sauvages et qui deviennent ses collaborateurs le temps d’une séance de pose (Wiley travaille exclusivement à partir de photographies), choisissant avec lui dans les livres d’histoire de l’art l’image qu’ensemble ils vont recycler, remixer, à la manière de DJs reprenant et samplant de grands airs de musique classique, dans une approche qui mélange les genres, abat les hiérarchies entre beaux-arts et culture de masse, et intègre parfois des éléments de la culture pop et des marques globalisées.

Wiley s’attellera donc à corriger les angles morts de l’histoire en détournant la rhétorique visuelle de la peinture aristocratique des XVIII e et XIX e siècles pour mettre sa puissance d’évocation au service de ceux que précisément elle a si souvent ignorés.

Où l’on en revient à cette photo d’identité judiciaire trouvée dans la rue, catalyseur de la « manière Wiley » : alors que le prisonnier n’a aucun contrôle sur la façon dont il est présenté, les modèles de Kehinde, eux, choisissent leur posture et deviennent des incarnations de beauté, de confiance et de noblesse, s’imposant dans le paysage artistique contemporain comme les contours d’une photo apparaissent dans le bac révélateur. Du négatif au positif…

À l’ère du Black Lives Matter, un tableau de Wiley s’appréhende ainsi comme le strict opposé de ce portrait judiciaire par lequel tout a commencé, imposant la présence d’un homme noir dignifié dans une société qui persiste à le criminaliser. À travers ces représentations, l’artiste, qui a lui-même souffert de préjugés dans le climat socio-politique et racial très «particulier » des États-Unis, réalise une forme d’ « autoportrait au long cours » , mais tend également un miroir à la société. « Ce que je retiens essentiellement de l’œuvre de Kehinde Wiley, c’est son impact, sa force, et le fait qu’il ait osé reprendre possession de son histoire pour nous offrir à tous un regard différent sur lui mais également sur toute une génération d’hommes noirs qui ont pu, à travers son œuvre, se voir différemment » , expose Anna Djigo-Koffi, éditrice et opératrice culturelle sénégalaise. Exemple emblématique de cette mise en lumière : Napoléon menant l’armée sur les Alpes (2005), qui imite le célèbre portrait de Jacques-Louis David en remplaçant la figure de l’empereur français par un modèle afro-américain anonyme vêtu de chaussures Timberland et de treillis de camouflage, chevauchant Marengo (le cheval préféré de Napoléon) sur fond de brocard rouge et or.

Engagé sur tous les fronts (allégorie de la migration avec Ship of Fools , interprétation du panneau éponyme de Jérôme Bosch ; mémorial anti-confédérés…), Wiley élargit dès 2006 la gamme géographique de ses toiles pour y inclure des modèles du monde entier (13 pays sur quatre continents) dans la série appelée The World Stage . Quant à la collection Tahiti , présentée à la galerie Templon en 2019, elle s’intéresse à la communauté māhū – un groupe traditionnellement reconnu comme un « troisième genre » dans la culture polynésienne –, et propose une réponse inclusive aux représentations problématiques de Paul Gauguin, souvent teintées de colonialisme et d’objectification sexuelle. « En représentant des personnes issues de diverses communautés et cultures, Kehinde Wiley apporte vraiment une contribution significative à la diversification de la représentation artistique de nos jours » , déclare Alix Panizzoli , marchande, conseillère et experte en art contemporain et moderne.

Outre les poses, toujours régaliennes ou grandiloquentes (le peintre s’inspire également de l’iconographie religieuse en représentant ses modèles sous les traits de saints ou de martyrs) et le fait de substituer les « signes extérieurs de la culture bling-bling » et urbaine (tee-shirts amples, baggys, hoodies, baskets, casquettes et chaînes massives…) à ceux du pouvoir typiques du portrait de cour (regalia royaux, vêtements et bijoux d’apparat…), le « passage à l’échelle » sur des toiles aux dimensions « larger-than-life » reflète également le militantisme de l’artiste, qui rend à travers toutes ces représentations «grandeur nature » sa dignité au jeune Afro-Américain anonyme des tout débuts de sa carrière, capturé, lui, dans le plus petit format de portrait existant (la photo d’identité). « Je n’ai pas créé ce langage, mais j’ai saisi toute la dimension politique et propagandiste de l’échelle. Dans une société pré-alphabétisée où l’Église, puis l’État mandataient des artistes pour propager leurs valeurs sociales et religieuses, les proportions revêtaient une importance capitale. Mon intention était d’explorer la façon dont le patriarcat, la domination et l’empire s’incarnent dans cette question d’échelle » , confie l’artiste qui, avec l’esprit provoc’ qui le caractérise, n’hésite pas à décréter qu’il « emmerde » le fameux quart d’heure de célébrité d’Andy Warhol… puisque ses tableaux rendent de facto leurs modèles éternels. Une chose est sûre : plus encore que les attributs symboliques de la richesse et du pouvoir brandis en étendards dans la peinture de cour, le summum du luxe était (et est toujours) de posséder un portrait de soi peint par un maître, affirmation ultime de la supériorité sociale du sujet représenté. « Je Suis Peint Donc Je Suis »…

Une chose est sûre : plus encore que les attributs symboliques de la richesse et du pouvoir brandis en étendards dans la peinture de cour, le summum du luxe était (et est toujours) de posséder un portrait de soi peint par un maître, affirmation ultime de la supériorité sociale du sujet représenté.

Pour autant, l’artiste confesse sa crainte d’être « ennuyeux » en « [se] contentant d’être militant » , et revendique une peinture qui « d’abord [l’] emporte visuellement et conceptuellement » .

C’est un fait : pour le meilleur comme pour le pire, Wiley ne laisse pas indifférent.Foisonnant, chatoyant, baroque, kitsch, halluciné et hallucinant, tape-à-l’œil, majestueux, saturé, criard…Les adjectifs ne manquent pas pour décrire son style et la richesse de ses toiles dont la nature proprement excessive ne peut qu’interpeller. « Pour moi, ses œuvres offrent avant tout une expérience visuelle saisissante » , confirme Alix Panizzoli , quand Holland Cotter , co-critique d’art en chef et rédacteur principal de la section Culture du New York Times , assimile Wiley à un « peintre d’histoire, l’un des meilleurs que nous ayons… [qui] crée l’histoire autant qu’il la raconte. »

Un peintre d’histoire auquel ses détracteurs reprochent cependant de ne pas s’impliquer intégralement dans sa production, déléguant une grande partie de son travail à une multitude d’assistants (notamment à Pékin où il a ouvert un studio satellite en 2006). Bien qu’il ne précise pas dans quelle mesure, Wiley reconnaît lui-même ne pas pouvoir tout prendre en charge dans le cadre d’une pratique artistique à grande échelle, laissant aux petites mains la réalisation des arrière-plans surchargés tandis que lui-même se concentre sur les personnages et le rendu des peaux brunes. Une pratique qui n’est, au demeurant, ni inhabituelle ni nouvelle dans l’histoire de l’art, si l’on s’en réfère aux botteghe du Quattrocento ou, plus récemment, aux pionniers du « ready made » comme Marcel Duchamp et Andy Warhol.

Au-delà de l’aspect purement matériel de la production, certains dénoncent chez l’artiste une certaine « froideur » , fustigeant une « mécanique bien huilée qui ne sort pas de sa zone de confort » , et allant même jusqu’à dénigrer son côté rococo, hyperdécoratif, vulgaire, masculiniste, adapté au marché, fasciné par le pouvoir… Un travail que le critique d’art Ben Davis n’hésite pas à qualifier de « caricatural » , « plat » et « conventionnel » , étouffant l’émotion propre au portrait qui parvient à capturer quelque chose de son sujet. « C’est un directeur artistique qui vend une formule, un style qui peut être traduit dans beaucoup de médiums différents » , déplore Davis. Ce qui, pour d’autres experts, est précisément tout l’intérêt de la « formule Wiley ». « D’un point de vue marketing, commercial et financier, Kehinde Wiley est un monstre , s’enthousiasme Guillaume Studer , galeriste et expert agréé auprès de la Chambre européenne des experts-conseils en œuvre d’art. Aujourd’hui, le talent ne suffit plus : l’artiste doit aussi être un entrepreneur. Il faut développer une vision, proposer d’autres choses, savoir se renouveler, aller chercher des partenariats… Exposer des tableaux sur des murs blancs et attendre que les gens les achètent, c’est dépassé. Il y a beaucoup de choses à faire, beaucoup de marchés à attaquer. C’est aux galeristes, à l’artiste et à ses équipes de proposer tout cela et je pense que Kehinde Wiley, même s’il n’est pas seul dans son cheminement, y arrive vraiment très bien » . Pragmatique, le principal intéressé n’en pense pas moins. Selon lui, les artistes devraient pouvoir s’épanouir et permettre à leurs idées de s’épanouir autant que peuvent le faire les cracks de la biotechnologie ou de la finance, loin de cet « espace romantique de privation » fantasmé par le grand public. Andy Warhol, « Pape du Pop Art » (et du « Business Art »), ne disait rien d’autre lorsqu’il déclarait : « Être bon en affaires est la forme d’art la plus fascinante » … À plusieurs décennies d’intervalle, les deux hommes se retrouvent assurément dans cette vision révolutionnaire de l’art comme levier d’inclusion sociale et d’empowerment socio-économique, que le succès non démenti de Wiley depuis maintenant plus de 20 ans confirme en tant que stratégie gagnante.

« D’un point de vue marketing, commercial et financier, Kehinde Wiley est un monstre , s’enthousiasme Guillaume Studer, galeriste et expert agréé auprès de la Chambre européenne des experts-conseils en œuvre d’art. – Andy Warhol, « Pape du Pop Art » (et du « Business Art »), ne disait rien d’autre lorsqu’il déclarait : « Être bon en affaires est la forme d’art la plus fascinante » …",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forbes Afrique,,,https://forbesafrique.com/la-vie-forbes/culture/,"Culture - Forbes Afrique Gérer votre consentement aux cookies Pour offrir les meilleures expériences, nous utilisons des technologies telles que les cookies pour stocker et/ou accéder aux informations des appareils. Le fait de consentir à ces technologies nous permettra de traiter des données telles que le comportement de navigation ou les services aux abonnés et membres sur ce site . Le fait de ne pas consentir ou de retirer son consentement peut avoir un effet négatif sur certaines caractéristiques et fonctions. Fonctionnel Fonctionnel Toujours activé Le stockage ou l’accès technique est strictement nécessaire dans la finalité d’intérêt légitime de permettre l’utilisation d’un service spécifique explicitement demandé par l’abonné ou l’utilisateur, ou dans le seul but d’effectuer la transmission d’une communication sur un réseau de communications électroniques. Préférences Préférences Le stockage ou l’accès technique est nécessaire dans la finalité d’intérêt légitime de stocker des préférences qui ne sont pas demandées par l’abonné ou l’utilisateur. Statistiques Statistiques Le stockage ou l’accès technique est utilisé exclusivement à des fins statistiques anonymes. Le stockage ou l’accès technique qui est utilisé exclusivement dans des finalités statistiques anonymes. En l’absence d’une assignation à comparaître, d’une conformité volontaire de la part de votre fournisseur d’accès à internet ou d’enregistrements supplémentaires provenant d’une tierce partie, les informations stockées ou extraites à cette seule fin ne peuvent généralement pas être utilisées pour vous identifier. Marketing Marketing Le stockage ou l’accès technique est nécessaire pour créer des profils d’utilisateurs afin d’envoyer des publicités, ou pour suivre l’utilisateur sur un site web ou sur plusieurs sites web ayant des finalités marketing similaires. Gérer les options Gérer les services Gérer {vendor_count} fournisseurs En savoir plus sur ces finalités Accepter Refuser Voir les préférences Enregistrer les préférences Voir les préférences Mentions légales Mentions légales {title} Menu Accueil Actu Cover Stories Milliardaires Portraits & Interviews Classements Enquêtes Technologie Blockchain Management La Vie Forbes Culture Évasion Luxe BrandVoices Plus Sport Business Ressources africaines Immobilier Boutique La vie Forbes Culture Entretien Ogiame Atuwatse III, Souverain du Royaume de Warri : ""Nos Institutions Traditionnelles Doivent Continuer à Exister et à s’Adapter"" Au Nigéria, l’antique monarchie de Warri, fondée en 1480, joue un rôle non négligeable dans la vie économique. Situé dans le delta du Niger, ce royaume... Lire la suite Culture Reportage Le Festival des Masques de Porto-Novo : Un Levier de Croissance Pour la Capitale Béninoise ! Les 2 et 3 août, Porto-Novo (Bénin) accueillait la seconde édition du Festival des Masques. Vecteur d’attractivité et de croissance, cet événement situé... Lire la suite Culture La Vie Forbes Portraits &amp; Interviews Adama Paris : Couture, Culture et Conquête Figure incontournable de la mode africaine contemporaine, Adama Paris transcende le statut de simple créatrice. En 2025, elle signe la nouvelle édition... Lire la suite Culture La Vie Forbes Kehinde Wiley : De Coups de Pinceaux En Coups d’Éclat Devenu célèbre pour ses portraits héroïcisant la jeunesse afro-américaine en jouant sur les canons de l’art classique occidental, le peintre Kehinde Wiley... Lire la suite Culture La Vie Forbes Portraits &amp; Interviews Sous le Fer, le Velours : Ousmane Mbaye, Designer de la Matière Apprivoisée En 2006, sa candidature était écartée de la sélection officielle de la Biennale de l’art africain contemporain de Dakar. En 2024, il devenait commissaire... Lire la suite Actu Culture La Vie Forbes Galerie Stéphane Konan : La Première Galerie d’Art Africain de Moscou à Ouvert Ses Portes Pour Célébrer la Culture Africaine La Galerie Stéphane Konan, première galerie d’art africain de la ville, a ouvert ses portes le vendredi 6 j",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
